,string_length,encryption_times,decryption_times
0,32,0.07594989999995505,0.07425920000002861
1,64,7.72999999867352e-05,2.160000002504603e-05
2,128,7.099999999127249e-05,2.040000003944442e-05
3,256,7.200000004559115e-05,2.170000004753092e-05
4,512,7.379999999557185e-05,2.1799999956328975e-05
5,1024,7.629999998925996e-05,2.160000002504603e-05
6,2048,8.739999998397252e-05,2.340000003187015e-05
7,4096,8.109999998850981e-05,2.4100000018734136e-05
8,8192,8.229999997411142e-05,2.8000000042993634e-05
9,16384,9.399999999004649e-05,2.870000002985762e-05
10,32768,9.64999999837346e-05,3.789999999526117e-05
11,65536,0.00014049999998633211,6.91000000188069e-05
12,131072,0.00021880000002738598,7.709999999860884e-05
13,262144,0.00031799999999293505,0.00013109999997595878
14,524288,0.0006245000000149048,0.0003937999999834574
15,1048576,0.0018210999999723754,0.0016337999999791464
16,2097152,0.0037945000000263462,0.003357900000025893
17,4194304,0.007359500000006847,0.007211900000015703
18,8388608,0.014820299999996678,0.014751300000000356
19,16777216,0.029940399999986766,0.02964520000000448
20,33554432,0.06083859999995411,0.06073390000000245
21,67108864,0.12288019999999733,0.11547810000001846
22,134217728,0.23737039999997478,0.2334318000000053
23,268435456,0.46132860000000164,0.45920860000001085
24,536870912,0.9210087999999814,0.9321449000000257
25,1073741824,1.8368537999999717,1.861389000000031
