,string_length,encryption_times,decryption_times
0,32,0.00088749999999,0.003858000000008
1,64,0.00088550000001,0.003877700000004
2,128,0.000918900000002,0.003984700000004
3,256,0.001657600000001,0.007690999999994
4,512,0.003174599999994,0.016499100000004
5,1024,0.006698100000008,0.031408299999995
6,2048,0.012754600000008,0.063092499999996
7,4096,0.024955899999995,0.126097800000011
8,8192,0.051699000000014,0.2581579
9,16384,0.100608899999997,0.518839599999993
10,32768,0.200676200000004,1.0104391
11,65536,0.399136200000001,2.0305231
12,131072,0.795247899999993,4.072249
13,262144,1.61386680000001,8.1524266
14,524288,3.1927199,16.277925
15,1048576,6.42365169999999,32.6098319
