,string_length,encryption_times,decryption_times,slow_decryption_times
0,32,0.012744999999995343,0.0002407000001767301,0.0006677999999737949
1,64,0.0001073999997061037,0.00029999999969732016,3.990000004705507e-05
2,128,0.00013209999997343402,0.0003987000000051921,6.930000017746352e-05
3,256,0.00020219999987602932,0.0008887000003596768,0.0001287999998567102
4,512,0.00033329999996567494,0.0013153999998394283,0.0002503999999134976
5,1024,0.0005707000000256812,0.002646800000093208,0.00048370000013164827
6,2048,0.0010680000000320433,0.004548400000203401,0.0009638999999879161
7,4096,0.002105900000060501,0.008964600000126666,0.001976999999897089
8,8192,0.004027899999982765,0.017611000000215427,0.003795799999807059
9,16384,0.009110700000292127,0.03533700000025419,0.008457500000076834
10,32768,0.015958400000272377,0.07276309999997466,0.015168999999787047
11,65536,0.03175020000026052,0.1452371000000312,0.030361099999936414
12,131072,0.06467479999992065,0.555788599999687,0.06149950000008175
13,262144,0.13122249999969426,0.6024339000000509,0.12822430000005625
14,524288,0.25735359999998764,1.5623849000003247,0.24397219999991648
15,1048576,0.5113486999998713,3.523330800000167,0.4939814999997907
16,2097152,1.0273984000000382,6.5654153999998925,0.983629800000017
17,4194304,2.0682941999998548,12.256472399999893,1.9774465000000419
18,8388608,4.119571000000178,25.676840600000105,3.9523589999998876
19,16777216,-,-,-
20,33554432,-,-,-
21,67108864,-,-,-
22,134217728,-,-,-
23,268435456,-,-,-
24,536870912,-,-,-
25,1073741824,-,-,-
