,string_length,encryption_times,decryption_times
0,32,0.018829100000004928,0.01874159999999847
1,64,0.00012650000002167872,6.199999995715189e-05
2,128,0.0001265999999873202,6.419999999707215e-05
3,256,0.00013140000004341346,6.789999997636187e-05
4,512,0.0001488999999992302,8.470000000215805e-05
5,1024,0.00015369999999848005,8.780000001706867e-05
6,2048,0.00019790000004604735,0.00012309999999615684
7,4096,0.00023989999999685097,0.00017850000000407817
8,8192,0.00036910000000034415,0.00028800000001183435
9,16384,0.0006087999999522253,0.0005204999999932625
10,32768,0.0010522999999693639,0.0009663000000159627
11,65536,0.0020154000000047745,0.0019184999999879437
12,131072,0.00400769999998829,0.0037103999999885673
13,262144,0.007488999999964108,0.00730310000000145
14,524288,0.014983900000004269,0.01467990000003283
15,1048576,0.030441900000028,0.030184200000007877
16,2097152,0.0611445000000117,0.06035450000001674
17,4194304,0.12120120000002998,0.1219192000000362
18,8388608,0.24507980000004181,0.24206290000000763
19,16777216,0.4860474000000181,0.4842957000000183
20,33554432,0.9818309999999997,1.000854199999992
21,67108864,1.9589543000000162,1.9878828999999882
22,134217728,3.9331285000000094,3.927776999999992
23,268435456,7.824416600000006,7.793321599999956
24,536870912,15.604197,15.649347299999988
25,1073741824,31.31374119999998,31.30929120000002
