,string_length,encryption_times,decryption_times
0,32,0.0007906000000019731,0.0037580999999988762
1,64,0.0008064999999959355,0.0037749000000104616
2,128,0.0007843000000065103,0.0037774000000041497
3,256,0.001527699999996912,0.007522999999991953
4,512,0.0021723999999920807,0.011340699999990989
5,1024,0.003548500000007948,0.018701300000003585
6,2048,0.00624390000000119,0.0337670999999915
7,4096,0.011446000000006507,0.06372559999999794
8,8192,0.023092099999999505,0.12761700000000076
9,16384,0.044779899999994655,0.2514438000000041
10,32768,0.09020660000000191,0.5102990000000034
11,65536,0.17872560000000703,1.0213384999999988
12,131072,0.35830250000000774,2.013226599999996
13,262144,0.7131526000000008,4.0207367000000005
14,524288,1.4410184999999984,8.039743400000006
15,1048576,2.8532345999999933,16.133278899999993
16,2097152,5.733765099999999,32.31295299999999
