,string_length,encryption_times,decryption_times
0,32,0.07753539999998793,0.0768891000000167
1,64,8.04999999672873e-05,2.1800000013172394e-05
2,128,8.139999999912106e-05,2.119999999194988e-05
3,256,8.330000014211691e-05,2.1400000150606502e-05
4,512,8.35999999253545e-05,2.2900000203662785e-05
5,1024,7.989999994606478e-05,2.199999994445534e-05
6,2048,8.240000011028314e-05,2.369999992879457e-05
7,4096,8.000000002539309e-05,2.3999999939405825e-05
8,8192,8.089999982985319e-05,2.560000007179042e-05
9,16384,8.400000001529406e-05,2.8499999871201e-05
10,32768,9.140000020124717e-05,3.450000008342613e-05
11,65536,0.00010459999998602143,4.669999998441199e-05
12,131072,0.00013990000002195302,7.550000009359792e-05
13,262144,0.00020630000017263228,0.00013110000008964562
14,524288,0.00033129999997072446,0.00023680000003878376
15,1048576,0.0016168000001925975,0.0014956999998503306
16,2097152,0.0030838000000130705,0.003037700000049881
17,4194304,0.006823899999972127,0.006246799999871655
18,8388608,0.01327250000008462,0.012880899999800022
19,16777216,0.02680729999997311,0.02823179999995773
20,33554432,0.05692680000015571,0.059196899999960806
21,67108864,0.11070999999992637,0.11352439999996022
22,134217728,0.22003530000006322,0.2269155999999839
23,268435456,0.4345668000000842,0.4547534999999243
24,536870912,0.8792975999999726,0.9239176000000953
25,1073741824,1.7489396999999371,1.8351339000000735
