,string_length,encryption_times,decryption_times,slow_decryption_times
0,32,0.012835200000154146,0.0002783999998428044,0.0006435000000237778
1,64,0.00010569999994913815,0.00034750000008898496,4.260000014255638e-05
2,128,0.0001321000002008077,0.000480800000104864,7.060000007186318e-05
3,256,0.0002199000000473461,0.0008723999999347143,0.00012979999996787228
4,512,0.0003159000000323431,0.0013337000000319676,0.00025380000010954973
5,1024,0.0005561000000398053,0.002314000000069427,0.0004902999999103486
6,2048,0.0010478000001512555,0.004471000000194181,0.000976900000068781
7,4096,0.0020208000000820903,0.009273099999973056,0.001963799999884941
8,8192,0.003974799999923562,0.01803790000008121,0.003874600000017381
9,16384,0.007895100000041566,0.03611330000012458,0.00778760000002876
10,32768,0.01579629999991994,0.18238350000001446,0.015483200000062425
11,65536,0.030865699999822027,0.23822450000011486,0.03061159999992924
12,131072,0.06197259999999005,0.5285670999999184,0.0662485000000288
13,262144,0.12949359999993248,0.7502387000001818,0.1288495999999668
14,524288,0.2506817000000865,1.7531258999999864,0.24795380000000478
15,1048576,0.4931277999999111,2.960978300000079,0.5040068000000701
16,2097152,1.0020867000000635,6.292343399999936,0.9998522999999295
17,4194304,1.9772295000000213,13.064018299999816,1.9917588000000706
18,8388608,3.9352049999999963,25.655714799999714,3.975590499999953
19,16777216,-,-,-
20,33554432,-,-,-
21,67108864,-,-,-
22,134217728,-,-,-
23,268435456,-,-,-
24,536870912,-,-,-
25,1073741824,-,-,-
