,string_length,encryption_times,decryption_times
0,32,0.07592570000002752,0.07753230000002986
1,64,8.100000002286833e-05,2.559999995810358e-05
2,128,7.700000003296736e-05,2.610000001368462e-05
3,256,0.00011619999997947161,3.320000001849621e-05
4,512,9.040000003324167e-05,4.16000000313943e-05
5,1024,9.710000000495711e-05,4.6200000042517786e-05
6,2048,0.00012609999998858257,6.980000000567088e-05
7,4096,0.00016510000000380387,0.00011419999998452113
8,8192,0.00027319999998098865,0.00020280000001093867
9,16384,0.0004427999999734311,0.0003785000000107175
10,32768,0.000820799999985411,0.0007284000000140622
11,65536,0.0015079000000355336,0.0014358999999899424
12,131072,0.002941499999963071,0.0028082999999696767
13,262144,0.005767199999979766,0.005674600000020291
14,524288,0.011763700000017252,0.011459899999977097
15,1048576,0.023620699999980843,0.023788800000033916
16,2097152,0.0476418999999737,0.04753479999999399
17,4194304,0.09510069999998905,0.09466599999996106
18,8388608,0.18918209999998226,0.18876489999996693
19,16777216,0.37730690000000777,0.3765263000000232
20,33554432,0.7536192000000028,0.7570275999999581
21,67108864,1.5129158000000302,1.511598700000036
22,134217728,3.022796000000028,3.0333636999999953
23,268435456,6.055535300000031,6.069915100000003
24,536870912,12.093831800000032,12.166016500000012
25,1073741824,24.255199199999993,24.29688379999999
