,string_length,encryption_times,decryption_times
0,32,0.02397680000001401,0.0012404000000287851
1,64,8.090000005722686e-05,2.6199999979326094e-05
2,128,0.00010489999999663269,4.100000001017179e-05
3,256,0.00012200000003304012,7.17000000349799e-05
4,512,0.00018199999999524152,0.0001330000000052678
5,1024,0.00030649999996512634,0.0002577000000201224
6,2048,0.000557200000002922,0.000517299999955867
7,4096,0.0010528999999905864,0.0010045000000218351
8,8192,0.0020498999999745138,0.0020001000000320346
9,16384,0.004052600000022721,0.003996299999926123
10,32768,0.007990800000015952,0.00790099999994709
11,65536,0.01594969999996465,0.015977399999997033
12,131072,0.03182809999998426,0.031651600000031976
13,262144,0.0631817000000865,0.06356940000000577
14,524288,0.1274137000000337,0.12729009999998198
15,1048576,0.25463360000003377,0.26111229999992247
16,2097152,0.5103720999999268,0.5091221999999789
17,4194304,1.0145101000000523,1.021206799999959
18,8388608,2.0596349999999575,2.059408699999949
19,16777216,4.083277399999929,4.068046400000071
20,33554432,8.173247599999968,8.200472600000012
21,67108864,16.44966599999998,16.376286100000016
22,134217728,32.690248,32.70950000000005
23,268435456,-,-
24,536870912,-,-
25,1073741824,-,-
