,string_length,encryption_times,decryption_times
0,32,0.0003206000000000042,0.0010749000000001008
1,64,0.0003268000000000715,0.0011153999999999886
2,128,0.0005891999999998454,0.0021829000000002097
3,256,0.0008732000000000184,0.003483000000000125
4,512,0.0012988999999998807,0.005451700000000059
5,1024,0.002210500000000115,0.009673000000000043
6,2048,0.004346999999999879,0.0193565
7,4096,0.008578799999999998,0.03861390000000009
8,8192,0.016775100000000043,0.07715950000000005
9,16384,0.03315220000000019,0.15013359999999998
10,32768,0.06549399999999994,0.29987580000000014
11,65536,0.13147360000000008,0.6084395000000002
12,131072,0.26327670000000003,1.1871283999999998
13,262144,0.5211383999999999,2.3924414999999994
14,524288,1.0579586,4.7383209
15,1048576,2.084118799999999,9.571667999999999
16,2097152,4.188526800000002,19.0377421
17,4194304,8.330289699999994,38.0154082
