,string_length,encryption_times,decryption_times
0,32,0.07407720000000495,0.07488359999999261
1,64,7.240000000763303e-05,2.2899999990499964e-05
2,128,7.739999999500924e-05,2.3299999995174403e-05
3,256,7.85999999948217e-05,2.4199999998586463e-05
4,512,8.110000000272066e-05,2.5199999996061706e-05
5,1024,7.920000000183336e-05,2.5199999996061706e-05
6,2048,8.97999999978083e-05,2.759999999568663e-05
7,4096,0.00010109999999485808,3.399999999942338e-05
8,8192,9.819999999649554e-05,3.960000000802211e-05
9,16384,0.00010919999999714491,5.0600000008671486e-05
10,32768,0.0001598000000058164,7.670000000814525e-05
11,65536,0.00021549999999592728,0.00013800000000685486
12,131072,0.00037849999999650663,0.0002496000000036247
13,262144,0.0006072000000045819,0.00041070000000331675
14,524288,0.0013251000000025215,0.0012356000000011136
15,1048576,0.0030129000000016504,0.0030148000000025377
16,2097152,0.006322800000006623,0.005595400000004247
17,4194304,0.012144100000000435,0.012352100000001087
18,8388608,0.02463600000000099,0.023925599999998326
19,16777216,0.04812170000001004,0.047431400000007784
20,33554432,0.09697959999999739,0.09264960000000144
21,67108864,0.18939380000000483,0.18466990000000294
22,134217728,0.377629199999987,0.3722339000000119
23,268435456,0.7580343999999997,0.7455728999999991
24,536870912,1.5250394999999912,1.5148668000000072
25,1073741824,3.031743600000013,3.0181426000000044
