,string_length,encryption_times,decryption_times
0,32,0.07784580000000574,0.08653169999999477
1,64,8.37000000046828e-05,2.6600000012422242e-05
2,128,7.550000000833279e-05,2.6200000007747803e-05
3,256,8.230000000253312e-05,3.0299999991711957e-05
4,512,8.81999999933214e-05,3.430000001003464e-05
5,1024,9.610000000748187e-05,4.4800000011946395e-05
6,2048,0.00011850000001345506,6.51999999945474e-05
7,4096,0.00015799999999899228,0.00010580000000004475
8,8192,0.00024819999998726416,0.00018750000000977707
9,16384,0.00039780000000178006,0.00034539999998628446
10,32768,0.0007136000000116383,0.0006657999999788444
11,65536,0.0013541000000145686,0.0013048000000139837
12,131072,0.0026704000000279393,0.0027004999999746815
13,262144,0.005193900000023177,0.005213800000007041
14,524288,0.010722500000014179,0.01038180000000466
15,1048576,0.021981799999991836,0.02187799999998674
16,2097152,0.04420110000000932,0.04375679999998283
17,4194304,0.08746669999999312,0.08718209999997839
18,8388608,0.17417820000000006,0.1732584000000088
19,16777216,0.34831390000002216,0.3487890000000107
20,33554432,0.6985532999999862,0.7004685999999936
21,67108864,1.421180000000021,1.448329799999982
22,134217728,2.8118202999999937,2.812272699999994
23,268435456,5.679315500000001,5.629324100000019
24,536870912,11.1551695,11.182225799999998
25,1073741824,22.335289499999988,22.370049499999993
