,string_length,encryption_times,decryption_times
0,32,0.07467710000014449,0.07579229999987547
1,64,0.00016329999994013633,8.950000005825132e-05
2,128,0.00018249999993713573,0.00010399999996479892
3,256,0.00020670000003519817,0.00013160000003153982
4,512,0.00025909999999385036,0.00018829999999070424
5,1024,0.0003709999998591229,0.0002971999999772379
6,2048,0.0005919999998695857,0.000518300000067029
7,4096,0.0010273000000324828,0.0009594000000561209
8,8192,0.0019049999998514977,0.0018422000000555272
9,16384,0.0036745999998402112,0.0036039999999957217
10,32768,0.007210999999870182,0.007128099999818005
11,65536,0.014266899999938687,0.014167399999905683
12,131072,0.028385399999933725,0.028302499999881547
13,262144,0.05667489999996178,0.056645200000048135
14,524288,0.1140603999999712,0.11473509999996168
15,1048576,0.22826390000000174,0.22803460000000086
16,2097152,0.45464270000002216,0.4539655999999468
17,4194304,0.9095753999999943,0.9105484000001525
18,8388608,1.8176238999999441,1.8164202000000387
19,16777216,3.6375840999999127,3.636541500000021
20,33554432,7.284776700000066,7.272082599999976
21,67108864,14.546583400000145,14.554958499999884
22,134217728,29.11960820000013,29.12202699999989
23,268435456,-,-
24,536870912,-,-
25,1073741824,-,-
