,string_length,encryption_times,decryption_times
0,32,0.07686189999999726,0.07519070000000738
1,64,7.920000000183336e-05,2.1699999990687502e-05
2,128,7.120000000782056e-05,2.1699999990687502e-05
3,256,7.549999999412194e-05,2.13999999942871e-05
4,512,7.940000000417058e-05,2.2100000009572796e-05
5,1024,7.999999999697138e-05,2.360000000578566e-05
6,2048,9.389999999598331e-05,2.689999999461179e-05
7,4096,8.419999998920957e-05,2.4699999997324085e-05
8,8192,9.489999999345855e-05,2.9999999995311555e-05
9,16384,8.569999999963329e-05,2.9399999988299896e-05
10,32768,9.780000000603195e-05,3.739999999652355e-05
11,65536,0.00010720000000219443,4.989999999338579e-05
12,131072,0.00017039999998758049,7.390000000384589e-05
13,262144,0.0003046000000068716,0.00012300000000209366
14,524288,0.0005327999999877875,0.00021209999999882712
15,1048576,0.001772500000001287,0.0018697000000003072
16,2097152,0.0037903999999997495,0.003520500000007587
17,4194304,0.007918099999997708,0.00697309999999618
18,8388608,0.014926799999997797,0.01542720000000486
19,16777216,0.0299902000000003,0.02953190000000916
20,33554432,0.059402200000008065,0.05946459999999831
21,67108864,0.11853239999999232,0.11493760000000464
22,134217728,0.22570960000000184,0.22589849999999956
23,268435456,0.4591995000000111,0.46843359999999734
24,536870912,0.9348374999999862,0.9993534999999838
25,1073741824,1.9008005000000026,1.8867369000000167
